Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-3),Total scope 2 greenhouse gas emissions (t CO2-3),Total energy consumption (GJ)
Honan Holdings Pty Ltd,"342,065","220,495","5,291,062"
HRL Limited,"2,474,092","179,180","32,129,829"
Hunter Water Corporation,"34,802","66,134","359,668"
Hydro Aluminium Kurri Kurri Pty Ltd,"366,598","2,509,193","13,756,568"
IBM A/NZ Holdings Pty Limited,"1,192","98,735","378,567"
ICC Holdings Pty Limited,"168,832","2,021","2,816,398"
Idemitsu Australia Resources Pty Ltd,"439,876","110,259","3,411,644"
Iluka Resources Limited,"633,799","243,839","8,745,443"
Incitec Pivot Limited1,"987,302","173,768","24,070,980"
Inghams Enterprises Pty Limited,"71,831","213,800","1,934,116"
Integral Energy Australia,"19,848","672,021","2,894,718"
International Energy Services Pty Ltd,"150,235","2,296","2,160,575"
International Power (Australia) Holdings Pty Ltd,"17,247,970","312,865","199,368,414"
IPMG Pty Limited,"15,743","83,737","618,859"
Isaac Plains Coal Management Pty Ltd,"101,766","11,550","865,389"
ISPT Pty Ltd,"5,120","94,023","442,162"
James Hardie Austgroup Pty Ltd,"23,219","69,268","707,892"
JBS Holdco Australia Pty Ltd,"184,613","159,812","2,249,435"
Jellinbah Group Pty Ltd,"193,485","7,908","1,718,503"
Jet Systems Pty Ltd,"120,739","2,008","1,815,974"
John Swire & Sons Pty Ltd,"14,758","85,651","535,470"
Kagara Ltd,"41,442","48,708","789,798"
Kalgoorlie Consolidated Gold Mines Pty Ltd,"227,996","319,917","4,681,820"
Kimberly Clark Pacific Holdings Pty Ltd,"119,544","250,559","4,754,826"
Koppers Australia Pty Ltd,"148,904","35,116","4,234,529"
Leighton Holdings Limited,"684,758","243,487","7,811,131"
Lend Lease Corporation Limited,"23,731","118,689","813,650"
LGL Australian Holdings Pty Ltd,"18,686","97,564","641,954"
Linfox Pty Ltd,"215,728","48,982","3,281,256"
Lion Nathan National Foods Pty Ltd,"103,998","287,951","3,136,840"
Loy Yang Holdings Pty Ltd,"10,186,782","20,296","116,129,307"
LyondellBasell Australia (Holdings) Pty Ltd,"8,056","136,989","16,875,871"
Macarthur Coal Limited,"302,491","60,606","2,515,673"
Macquarie Generation,"23,408,791","175,836","262,206,181"
Macquarie Group Limited,"5,961","92,386","460,470"
Mars Australia Pty Ltd,"32,153","96,577","934,209"
McCain Foods (Aust) Pty Ltd,"34,088","79,793","1,235,769"
McDonald's Australia Ltd,"2,871","128,991","530,434"
Melbourne Water Corporation1,"189,503","230,532","1,728,167"
Metro Trains Melbourne Pty Ltd,"3,693","281,611","885,083"
Metropolitan Health Service,"24,488","126,659","984,181"
Millennium Inorganic Chemicals Limited,"127,010","77,869","2,434,168"
Minara Resources Limited,"568,356",263,"9,903,265"
Mirvac Limited,"12,450","234,257","1,106,351"
Mitchell Corp Australia Pty Ltd,"100,362","1,007","1,578,920"
MMG Management Pty Ltd,"162,728","276,572","4,104,082"
MML Holdings Pty Ltd,"22,267","88,530","745,788"
Monash University,"17,968","120,910","700,780"
Mount Gibson Iron Limited,"110,923",730,"1,594,218"
Multinet Group Holdings Pty Limited,"274,966","2,705","28,423"
Murray Goulburn Co-operative Co. Limited,"145,795","491,733","5,111,806"
Myer Holdings Limited,"2,662","223,650","898,301"
National Australia Bank Limited,"9,602","148,666","663,118"
Nestle Australia Ltd,"39,547","168,670","1,841,239"
New Hope Corporation Limited,"309,466","38,462","1,956,968"
New Zealand Milk (Australasia) Pty Ltd,"175,808","190,754","3,489,607"
Newcrest Mining Limited,"662,673","668,764","16,999,481"
Newmont Australia Holdings Pty Ltd,"359,963","500,443","7,651,526"
News Australia Holdings Pty Limited,"6,193","121,911","574,243"
Nippon Meat Packers Australia Pty Ltd,"56,124","57,133","781,448"
Norske Skog Industries Australia Limited,"263,300","794,292","8,570,512"
Northgate Australian Ventures Corporation Pty Ltd,"29,682","198,473","1,052,081"
Norton Gold Fields Limited,"33,352","70,987","795,637"
NRG Victoria 1 Pty Ltd,"7,034,972","56,572","77,407,252"
Nyrstar Australia Pty Ltd,"387,923","467,344","9,292,468"
OneSteel Limited,"2,583,496","1,302,775","42,986,108"
Orica Limited,"2,113,590","435,106","18,413,538"
Origin Energy Limited,"1,873,394","52,965","130,471,364"
