Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
SANDFIRE RESOURCES NL,55105154185,"83,167",138,"1,223,496",-
SANTOS LIMITED,80007550923,"5,698,232","306,100","62,900,594",-
SARACEN MINERAL HOLDINGS LIMITED,52009215347,"185,225",39,"2,947,184",-
SCENTRE GROUP LIMITED,66001671496,"15,289","276,277","1,314,833",-
SEAROAD HOLDINGS PTY LTD,16123749655,"62,636",925,"865,088",-
SGSP (AUSTRALIA) ASSETS PTY LTD,60126327624,"613,102","327,575","6,020,494",-
SIBELCO ASIA PACIFIC PTY LTD,70092916811,"372,836","132,988","2,745,362",-
SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73009401736,"104,034","414,718","4,889,303",-
SILVER LAKE RESOURCES LIMITED,38108779782,"59,044","21,487","1,071,849",-
SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED,23070571934,"62,191","50,438","1,446,605",-
SIMS METAL MANAGEMENT LIMITED,69114838630,"28,160","33,060","544,003",-
SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69096686190,"2,027","413,141","1,759,678",-
SNOWY HYDRO LIMITED,17090574431,"78,067","282,712","2,220,255",-
SOJITZ COAL RESOURCES PTY LIMITED,34063050680,"72,854",28,"1,085,527",-
SONIC HEALTHCARE LIMITED,24004196909,"8,124","59,156","388,569",-
SOUTH AUSTRALIAN WATER CORPORATION,69336525019,"90,665","121,279","1,657,525",-
SOUTH METROPOLITAN HEALTH SERVICE,92264056442,"12,909","43,632","3,048,370",-
SOUTH32 LIMITED,84093732597,"7,002,276","456,946","63,798,148",-
ST BARBARA LIMITED,36009165066,"63,933","1,297","1,150,895",-
ST JOHN OF GOD HEALTH CARE INC,21930207958,"15,087","60,924","534,485",-
ST VINCENT'S HEALTH AUSTRALIA LTD,75073503536,"10,496","98,135","581,719",-
STANMORE COAL LIMITED,27131920968,"65,029","24,464","607,951",-
STANWELL CORPORATION LIMITED,37078848674,"18,643,020","52,113","136,012,489",-
STATE TRANSIT AUTHORITY OF NSW,51750635629,"167,871","7,037","2,620,286",-
STOCKLAND CORPORATION LTD,43000181733,"26,881","88,321","740,503",-
SUEZ AUSTRALIA HOLDING PTY LTD,30070452890,"576,809","40,166","1,420,686",-
SUN METALS HOLDINGS LIMITED,30051538580,"5,359","701,120","3,312,794",-
SUNSET POWER INTERNATIONAL PTY LTD,75162696335,"6,903,384","37,777","50,302,332",-
SUNWATER LIMITED,17020276523,"2,985","142,503","699,752",-
SUPER RETAIL GROUP LIMITED,81108676204,657,"78,916","350,254",-
SVITZER AUSTRALASIA SERVICES PTY LIMITED,18120555375,"53,406","2,629","768,652",-
SYDNEY AIRPORT LIMITED,18165056360,"5,826","82,062","447,283",-
SYDNEY TRAINS,38284779682,"10,020","503,930","2,299,122",-
SYDNEY WATER CORPORATION,49776225038,"47,302","292,717","2,220,164",-
TASMANIAN NETWORKS PTY LTD,24167357299,"7,749","64,110","1,989,444",-
TELSTRA CORPORATION LIMITED,33051775556,"52,660","1,254,989","6,098,878",-
TEYS AUSTRALIA PTY LTD,38009872600,"139,398","94,598","1,372,640",-
THALES AUSTRALIA HOLDINGS PTY LTD,84058583841,"40,702","43,797","547,642",-
THE STAR ENTERTAINMENT GROUP LIMITED,85149629023,"10,517","90,948","603,580",-
THE TRUSTEE FOR COSTA'S UNIT TRUST,72534822931,"48,747","64,190","827,110",-
THE TRUSTEE FOR THE MADDINGLEY MINE TRUST,63604564597,"92,746",328,"440,913",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (NSW),77005284605,"5,068","53,665","311,135",-
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25548385225,"14,227","77,950","587,889",-
THE UNIVERSITY OF QUEENSLAND,63942912684,"2,078","108,041","555,859",-
THOMAS FOODS INTERNATIONAL CONSOLIDATED PTY LIMITED,20105099849,"17,961","32,803","535,870",-
TOGA PTY. LTD.,27000926947,"7,016","55,182","374,593",-
TOLL HOLDINGS LIMITED,25006592089,"477,202","68,981","7,039,060",-
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,64009686097,"34,124","98,403","959,644",-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40062135844,"890,245",69,"11,820,907",-
TRANSDEV AUSTRALASIA PTY LTD,40079303816,"118,135","8,468","1,796,066",-
TRANSIT SYSTEMS PTY LTD,34135200609,"81,308","2,117","1,255,012",-
TRANSURBAN HOLDINGS LIMITED,86098143429,"1,857","69,986","302,607",-
TRILITY GROUP PTY LTD,39144522565,"12,920","70,875","526,545",-
TRONOX MANAGEMENT PTY LTD,59009343364,"552,388","119,510","9,814,626",-
TT-LINE COMPANY PTY. LTD.,39061996174,"160,472",928,"2,169,254",-
TWENTIETH SUPER PACE NOMINEES PTY. LTD.,16005855327,"97,059","6,524","1,409,497",-
UNIVERSITY OF MELBOURNE,84002705224,"16,458","130,695","745,872",-
UNIVERSITY OF NEW SOUTH WALES,57195873179,"5,813","74,901","419,904",-
UNIVERSITY OF SYDNEY,15211513464,"6,895","92,540","523,852",-
USG BORAL BUILDING PRODUCTS PTY LIMITED,84004231976,"81,944","43,957","1,789,567",-
V/LINE PASSENGER CORPORATION,91 273 289 190,"112,964","16,169","1,657,132",-
VENTIA SERVICES GROUP PTY LIMITED,53603253541,"20,278","34,347","446,833",-
VENTURA MOTORS PROPRIETARY LIMITED,67004235518,"49,438","2,821","1,071,998",-
VEOLIA WATER AUSTRALIA PTY LTD,99061161279,"76,834","100,788","1,518,272",-
VERMILION OIL & GAS AUSTRALIA PTY LTD,29113023591,"54,893",145,"747,742",-
VICINITY LIMITED,90114757783,"6,312","199,354","885,787",-
VICTORIA POWER NETWORKS PTY LTD,37116940820,"17,618","1,280,858","4,448,253",-
VILLAGE ROADSHOW LIMITED,43010672054,"4,371","59,106","323,362",-
VIRGIN AUSTRALIA HOLDINGS LIMITED,54100686226,"2,688,811","18,688","38,384,017",-
VIVA ENERGY AUSTRALIA GROUP PTY LTD,60004400220,"1,032,422","296,563","17,440,463",-
VODAFONE HUTCHISON AUSTRALIA PTY LIMITED,76096304620,92,"184,497","796,894",-
WA COUNTRY HEALTH SERVICE,28680145816,"8,473","42,016","347,220",-
WAGGA WAGGA CITY COUNCIL,56044159537,"62,744",35,"3,573",-
WARRNAMBOOL CHEESE AND BUTTER FACTORY COMPANY HOLDINGS LIMITED,15071945232,"32,782","46,451","766,048",-
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49000002728,"137,061","42,926","1,789,665",-
WASTE ASSETS MANAGEMENT CORPORATION,56784733957,"230,105","1,415","32,482",-
WATER CORPORATION,28003434917,"72,643","733,698","4,083,902",-
WESFARMERS LIMITED,28008984049,"1,598,769","2,362,285","30,952,067",-
WESTERN AREAS LIMITED,68091049357,"14,046","38,185","396,205",-
WESTGOLD RESOURCES LIMITED,60009260306,"139,143","21,109","2,128,561",-
WESTPAC BANKING CORPORATION,33007457141,"6,265","121,224","604,935",-
WHITEHAVEN COAL LIMITED,68124425396,"1,255,341","95,010","4,917,912",-
WILMAR AUSTRALIA HOLDINGS PTY LIMITED,79144972743,"180,213","50,799","51,591,136",-
WINDFIELD HOLDINGS PTY LTD,60160456164,"16,508","44,023","462,098",-
WOLLONGONG COAL LIMITED,28111244896,"78,115","24,826","118,738",-
WOODSIDE PETROLEUM LTD.,55004898962,"10,160,826","8,318","159,472,371",-
WOOLWORTHS GROUP LIMITED,88000014675,"571,306","2,258,811","10,291,184",-
YANCOAL AUSTRALIA LIMITED,82111859119,"1,039,016","216,956","6,955,382",-
YARA PILBARA FERTILISERS PTY LTD,74095441151,"1,429,780",37,"28,254,671",-
