Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption 3(GJ)
Norilsk Nickel Australia Pty Ltd,"66,651","68,421","1,321,883"
Norske Skog Industries Australia Limited,"287,583","731,550","8,726,270"
Northgate Australian Ventures Corporation Pty Ltd,"21,045","163,280","814,912"
NRG Victoria 1 Pty Ltd,"8,019,597","50,710","86,846,520"
Nyrstar Australia Pty Ltd,"428,281","384,820","9,848,345"
OneSteel Limited,"2,559,167","1,188,190","40,012,454"
Orica Limited,"2,318,304","437,851","18,517,011"
Origin Energy Limited,"1,295,988","36,037","39,593,731"
Owens-Illinois (Australia) Pty Ltd,"516,956","324,944","8,271,308"
OZ Minerals Limited,"316,355","516,987","7,002,359"
OzGen Holdings Australia Pty Ltd,"10,408,622","50,990","114,198,398"
PaperlinX Limited,"576,124","283,250","17,903,163"
Peabody Energy Australia Pty Ltd,"2,388,636","174,231","2,741,213"
Pechiney Consolidated Australia Pty Limited,"992,708","6,853,651","36,492,069"
Penrice Soda Holdings Limited,"308,055","224,150","4,104,392"
PMP Limited,"24,457","104,867","806,125"
Power And Water Corporation,"1,060,894","95,457","19,203,602"
Pratt Consolidated Holdings Pty. Ltd.,"311,457","879,085","13,655,412"
Qantas Airways Limited,"4,007,170","229,313","58,563,182"
Qenos Holdings Pty Ltd,"795,872","323,917","35,787,772"
QMAG Limited,"229,584","78,034","1,592,682"
QR Limited,"719,326","700,294","13,055,947"
Queensland Alumina Limited,"3,835,786","703,021","50,048,084"
Queensland Electricity Transmission Corporation Limited,"8,607","1,649,464","6,567,572"
Queensland Nitrates Pty Ltd,"544,806","25,633","3,037,398"
Rail Corporation New South Wales,"85,128","617,508","3,673,271"
Ramsay Health Care Limited,"14,608","147,583","839,292"
Resolute Mining Limited,"22,735","110,832","771,067"
Rio Doce Australia Pty Limited,"1,429,939","94,255","2,046,151"
Rio Tinto Limited,"7,662,229","9,401,386","126,386,064"
Roc Oil Company Limited,"277,125",0,"1,169,160"
Salvage Pty Ltd,"8,145","130,783","603,130"
Santos Ltd,"3,370,189","42,708","33,141,054"
SCA Tissue Australia Pty Limited,"53,061","176,750","1,551,155"
Sembsita Australia Pty. Limited,"385,700","16,645","619,059"
Shell Australia Limited,"1,439,589","458,902","298,311,340"
Silicon Metal Company Of Australia Pty Ltd,"37,127","319,566","3,804,566"
Silk Logistics Group Holdings Pty Limited,"137,546","5,550","2,021,122"
SingTel Optus Pty Limited,"4,603","273,244","1,078,156"
Snowy Hydro Limited,"182,702","697,803","17,333,438"
Sonoma Mine Management Pty Ltd,"134,865","25,292","1,012,528"
South Australian Water Corporation,"70,006","373,897","1,861,545"
SP Australia Networks (Transmission) Ltd,"13,503","1,636,619","4,873,268"
SPI (Australia) Assets Pty Ltd,"552,149","264,734","2,474,982"
SPI Electricity & Gas Australia Holdings Pty Ltd,"212,551","666,878","2,164,602"
St Barbara Limited,"64,768","69,492","1,271,108"
Stanwell Corporation Limited,"7,277,109","13,907","86,130,709"
State Transit Authority Of NSW,"137,825","9,052","2,178,923"
Stockland Corporation Ltd,"18,957","126,438","761,379"
Sun Metals Holdings Limited,"15,562","815,213","3,303,488"
SunWater,"2,785","129,077","550,565"
Sydney Water Corporation,"151,462","323,923","1,877,169"
Tabcorp Holdings Limited,"9,870","145,525","748,699"
Tarong Energy Corporation Limited,"6,714,430","164,324","78,377,433"
Tarong North Pty Ltd,"2,649,130","2,179","29,966,473"
Telstra Corporation Limited,"64,647","1,317,310","5,894,615"
The Maddingley Mine Trust,"167,252",420,"16,718"
Tiger Airways Australia Pty Limited,"132,008",0,"1,969,084"
Tiwest Pty Ltd,"564,168","227,901","8,176,212"
Toll Holdings Limited,"409,822","89,658","6,179,331"
Toyota Motor Corporation Australia Ltd.,"40,711","124,685","1,128,851"
TransAlta Energy (Australia) Pty Ltd,"692,706",69,"13,415,287"
Transfield Services Limited,"1,455,341","198,809","24,270,801"
TransGrid,"15,504","2,225,457","9,083,567"
Transpacific Industries Group Ltd,"1,430,510","36,527","3,030,865"
TRUenergy Holdings Pty Ltd,"15,826,183","256,951","209,168,930"
TT-Line Company Pty Ltd,"144,675","1,254","1,974,832"
