Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
FMR INVESTMENTS PTY LIMITED,24757019296,"46,821","17,346","757,796",-
FOOD INVESTMENTS PTY LIMITED,85008426177,"88,556","142,763","2,181,935",-
FORD MOTOR COMPANY OF AUSTRALIA LIMITED,30004116223,"17,773","134,869","755,426",-
FORESTRY CORPORATION OF NEW SOUTH WALES,43141857613,"61,737","1,156","882,422",-
FORTESCUE METALS GROUP LTD,57002594872,"1,409,410","362,778","22,570,952",-
FOSTER'S GROUP PTY LTD,49007620886,"41,360","75,374","931,714",-
FPW HOLDINGS AUSTRALIA PTY LTD,55600457430,"23,010","46,778","629,834",-
FQM AUSTRALIA HOLDINGS PTY LTD,77136613075,"102,318",26,"2,042,676",-
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27136262952,"2,180","84,722","399,055",-
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED,36099027746,"30,674","29,314","714,409",-
FUJITSU AUSTRALIA LTD,19001011427,"1,666","143,663","619,051",-
FULTON HOGAN AUSTRALIA PTY LTD,42135849115,"85,563","20,332","1,475,710",-
GENERAL MOTORS AUSTRALIA LTD,85103162956,"20,474","72,021","778,150",-
GLADSTONE PORTS CORPORATION LIMITED,96263788242,"34,215","64,758","997,497",-
GLENCORE HOLDINGS PTY LIMITED,41104160689,"11,177,906","1,960,129","44,740,070",-
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65094338333,70,"147,312","632,104",-
GOLD FIELDS AUSTRALIA PTY LIMITED,91098385285,"244,727","138,873","4,538,954",-
GOLDFIELDS POWER PTY LTD,81062186243,"130,402",0,"1,684,776",-
GPT MANAGEMENT HOLDINGS LIMITED,67113510188,"13,077","126,312","674,258",-
GRAINCORP LIMITED,60057186035,"112,159","172,550","2,510,670",-
GRANGE RESOURCES LIMITED,80009132405,"195,633","28,800","4,102,168",-
GRIFFITH UNIVERSITY,78106094461,"1,318","55,400","273,837",-
GWI HOLDINGS NO.2 PTY LTD,53132989998,"134,454","2,440","1,934,438",-
HAMSDALE AUSTRALIA PTY LIMITED,37097393112,"28,920","30,686","441,163",-
HANCOCK PROSPECTING PTY LIMITED,69008676417,"242,437",0,"5,176,439",-
HANKING AUSTRALIA PTY LTD,74154695593,"47,916","3,188","703,491",-
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48090994657,"317,340","67,239","3,484,022",-
HARVEY NORMAN HOLDINGS LTD,54003237545,"6,415","130,255","652,311",-
HEALTHSCOPE LIMITED,65144840639,"11,354","89,179","616,576",-
HEWLETT-PACKARD SOUTH PACIFIC PTY LTD,94121554489,994,"99,193","409,950",-
HILLGROVE RESOURCES LIMITED,73004297116,"30,733","26,019","724,458",-
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46122401405,"185,115","65,313","2,958,255",-
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY LIMITED,95003621216,"10,465","53,564","433,035",-
HUNTSMAN CORPORATION AUSTRALIA PTY LIMITED,67083984187,"13,773","72,520","1,943,965",-
