Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
Ecogen Holdings Pty Ltd,"254,763","30,536","285,299","5,221,364"
Elders Limited,"20,345","39,628","59,973","455,560"
ElectraNet Pty Ltd,"2,565","215,867","218,431","1,165,758"
Electricity Generation Corporation T/A Verve Energy,"7,620,222","7,520","7,627,741","101,561,814"
Electricity Networks Corporation,"23,780","932,794","956,575","4,491,600"
Endeavour Energy,"17,027","719,477","736,504","3,131,330"
ENERGEX LIMITED,"28,871","1,149,188","1,178,059","5,685,622"
Energy Developments Limited,"1,053,143","3,674","1,056,817","23,755,519"
EnergyAustralia Holdings Ltd,"15,731,103","198,778","15,929,881","223,719,216"
Envestra Limited,"415,295",62,"415,357",329
Envirogen Pty Ltd,"121,508",74,"121,582","2,156,754"
Epic Energy Holdings Pty Limited,"67,777",981,"68,758","757,698"
Eraring Energy,"10,137,155","76,779","10,213,934","118,999,123"
Ergon Energy Corporation Limited,"103,346","777,887","881,233","4,700,122"
ERM Power Limited,"143,519","3,488","147,007","2,597,094"
Esperance Power Station Pty Ltd,"63,584",783,"64,367","1,172,703"
Essential Energy,"37,868","618,138","656,006","3,013,085"
Evolution Mining Limited,"67,364","163,230","230,594","1,698,708"
EXXONMOBIL AUSTRALIA PTY LTD,"2,347,805","230,618","2,578,423","580,700,278"
F & F MANAGEMENT PTY. LTD,"2,185","60,724","62,909","265,577"
Fairfax Media Limited,"8,182","76,795","84,976","416,358"
Farstad Shipping (Indian Pacific) Pty Ltd,"163,893",147,"164,041","2,358,622"
Finasucre Investments (Australia) Pty Limited,"49,159","18,187","67,346","4,099,603"
Fitness First Asia Pacific Group Pty Limited,"4,457","53,830","58,287","295,449"
Fletcher Building (Australia) Pty Ltd,"86,398","327,599","413,997","3,918,768"
FMR Investments Pty Ltd,"42,412","19,881","62,293","853,021"
Focus Minerals Ltd,"19,435","39,439","58,874","482,589"
Food Investments Pty Ltd,"107,771","150,933","258,704","2,501,410"
Ford Motor Company of Australia Limited,"27,887","154,799","182,685","957,442"
FORESTRY COMMISSION OF NEW SOUTH WALES,"72,701","1,907","74,608","1,051,644"
Fortescue Metals Group Ltd,"1,062,109","57,264","1,119,372","16,880,078"
FOSTER'S GROUP Pty Ltd,"42,398","89,007","131,405","1,077,420"
FQM Australia Holdings Pty Ltd,"133,086",12,"133,099","2,794,524"
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,"1,691","126,154","127,845","549,906"
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED,"34,069","34,727","68,796","786,035"
Fugro Holdings (Australia) Pty Ltd,"54,897","3,221","58,118","802,641"
Fujitsu Australia Limited,380,"93,831","94,211","366,621"
Fulton Hogan Australia Pty/Ltd,"79,355","20,201","99,557","1,830,761"
General Motors Australia Ltd,"37,165","110,851","148,016","1,255,745"
Gladstone Ports Corporation Limited,"39,226","70,226","109,452","1,006,798"
Glencore Investment Pty Ltd,"516,526",244,"516,770","9,180,333"
Glideco Pty Limited,"11,027","74,189","85,216","457,117"
Global Switch Australia Pty Limited,0,"131,302","131,302","531,107"
Gloucester Coal Ltd,"310,811","51,271","362,082","1,303,808"
