Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
CS Energy Limited,54078848745,"13,131,828","152,430","94,407,427","Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because nomination of operational control has not been made, as neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility. For further information refer to the 2014-15 greenhouse and energy information for designated generation facilities."
CSL Limited,99051588348,"15,078","73,814","518,084",N/A
CSR Limited,90000001276,"348,304","233,714","6,563,445",N/A
D&R Henderson Pty Ltd,22000449392,"19,866","43,484","662,045",N/A
DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12010268167,"2,732","94,650","460,973",N/A
David Jones Pty Limited,75000074573,"5,321","82,204","362,380",N/A
DBNGP (WA) Transmission Pty Limited,69081609190,"265,017","1,518","4,635,311",N/A
DEAKIN UNIVERSITY,56721584203,"8,508","57,375","336,700",N/A
Delta Electricity,67139819642,"6,061,800","51,745","44,987,480",N/A
DEXUS HOLDINGS PTY LIMITED,48110366946,"15,012","133,574","703,284",N/A
Diamantina Holding Company Pty Limited,59149762130,"613,667",95,"7,090,878",N/A
DORAL PTY LTD,85008902841,"17,543","39,892","456,294",N/A
DOWNER EDI LIMITED,97003872848,"162,624","49,979","2,970,344",N/A
DP World Australia (Holding) Pty Ltd,58147892715,"23,419","50,442","603,873",N/A
EASTERN HEALTH,68223819017,"7,743","49,895","298,156",N/A
EASTERN METROPOLITAN REGIONAL COUNCIL,89631866056,"114,766",585,"32,640",N/A
Ecogen Holdings Pty Ltd,78102872524,"68,281","31,479","1,046,448",N/A
ELECTRANET PTY LIMITED,41094482416,733,"219,355","1,301,723",N/A
Electricity Generation and Retail Corporation,58673830106,"7,721,908","7,152","62,318,364",N/A
ELECTRICITY NETWORKS CORPORATION,18540492861,"45,254","810,442","4,381,799",N/A
ENDEAVOUR ENERGY,59253130878,"22,390","590,682","2,677,784",N/A
ENERGEX LIMITED,40078849055,"25,544","926,000","4,412,062",N/A
Energy Developments Limited,84053410263,"1,318,296","2,425","19,988,311",N/A
EnergyAustralia Holdings Limited,57101876135,"20,595,391","362,447","164,842,542",N/A
Ergon Energy Corporation Limited,50087646062,"103,373","663,073","3,944,662",N/A
ERM Power Limited,28122259223,"387,164","5,210","5,551,029",N/A
Esperance Power Station Pty Ltd,24086409949,"58,134",0,"857,912",N/A
Essential Energy,37428185226,"30,639","851,064","3,913,612",N/A
Event Hospitality and Entertainment Ltd,51000005103,"11,505","135,897","788,311",N/A
EVOLUTION MINING (MUNGARI) PTY LTD,90002124745,"26,786","52,149","641,736",N/A
Evolution Mining Limited,74084669036,"80,619","203,565","2,093,446",N/A
EXXONMOBIL AUSTRALIA PTY LTD,48091561198,"2,233,680","249,356","165,233,998",N/A
F & F MANAGEMENT PTY. LTD,36133040721,"1,634","55,284","247,577",N/A
Fairfax Media Limited,15008663161,"6,241","43,900","279,427",N/A
FARSTAD SHIPPING (INDIAN PACIFIC) PTY. LTD.,40105011989,"202,914",0,"3,066,748",N/A
Figela Pty Ltd,64303782037,"70,283",0,"12,335",N/A
Fletcher Building (Australia) Pty Ltd,11093539452,"79,356","294,700","3,668,234",N/A
Food Investments Pty Ltd,85008426177,"93,950","142,249","2,220,080",N/A
FORD MOTOR COMPANY OF AUSTRALIA LIMITED,30004116223,"19,196","141,036","784,928",N/A
FORESTRY COMMISSION OF NEW SOUTH WALES,43141857613,"57,756","1,221","834,140",N/A
FORTESCUE METALS GROUP LTD,57002594872,"1,550,294","374,074","24,361,575",N/A
FOSTER'S GROUP PTY LTD,49007620886,"40,439","79,944","933,357",N/A
FPW Holdings Australia Pty Ltd,55600457430,"24,111","50,668","661,754",N/A
FQM Australia Holdings Pty Ltd,77136613075,"116,654",27,"2,421,838",N/A
Freightliner Australia Pty Ltd,51122522123,"51,682",0,"739,383",N/A
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27136262952,"1,313","109,337","536,416",N/A
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED,36099027746,"30,571","30,702","712,613",N/A
Fujitsu Australia Limited,19001011427,"1,011","139,217","576,505",N/A
FULTON HOGAN AUSTRALIA PTY LTD,42135849115,"74,098","18,504","1,292,015",N/A
GENERAL MOTORS AUSTRALIA LTD,85103162956,"25,819","80,017","886,235",N/A
GLADSTONE PORTS CORPORATION LIMITED,96263788242,"41,842","69,753","1,044,010",N/A
Glencore Holdings Pty Limited,41104160689,"9,021,330","2,097,986","45,189,871",N/A
GLOBAL SWITCH AUSTRALIA PTY LIMITED,65094338333,168,"146,439","613,000",N/A
Gold Fields Australia Pty Ltd,91098385285,"228,289","140,330","4,240,676",N/A
Goldfields Power Pty Ltd,81062186243,"134,782",0,"1,820,183",N/A
GPT MANAGEMENT HOLDINGS LIMITED,67113510188,"10,784","132,049","681,483",N/A
GRAINCORP LIMITED,60057186035,"107,651","170,025","2,431,588",N/A
Grange Resources Limited,80009132405,"202,473","49,990","4,274,178",N/A
GRIFFITH UNIVERSITY,78106094461,"1,285","56,011","269,689",N/A
GWI Holdings No.2 Pty Ltd,53132989998,"82,767","2,542","1,209,112",N/A
HAMSDALE AUSTRALIA PTY LIMITED,37097393112,"27,913","30,784","448,512",N/A
Hancock Prospecting Pty Limited,69008676417,"257,717","1,919","3,638,925",N/A
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48090994657,"250,210","61,637","2,950,427",N/A
Harvey Norman Holdings Limited,54003237545,"6,478","133,619","649,783",N/A
HEALTHSCOPE LIMITED,65144840639,"14,394","94,821","676,661",N/A
Hewlett-Packard South Pacific Pty Ltd,94121554489,636,"104,278","413,188",N/A
Hillgrove Resources Limited,73004297116,"36,504","27,833","827,994",N/A
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46122401405,"166,644","64,033","2,693,852",N/A
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED,95003621216,"9,997","52,319","413,934",N/A
HRL LIMITED,89061930756,"100,878","20,335","1,990,469",N/A
HUNTER WATER CORPORATION,46228513446,"11,923","41,929","244,961",N/A
HUNTSMAN CORPORATION AUSTRALIA PTY LIMITED,67083984187,"18,422","72,826","2,167,442",N/A
HYNE & SON PTY. LIMITED,67009660995,"5,375","46,288","2,398,002",N/A
IBM A/NZ Holdings Pty Limited,12105319248,597,"75,202","297,633",N/A
ICON WATER Ltd,86069381960,"65,440","143,990","852,539",N/A
IDEMITSU AUSTRALIA RESOURCES PTY LTD,45010236272,"66,217","75,656","3,250,794",N/A
Iluka Resources Limited,34008675018,"161,457","93,549","2,680,733",N/A
Incitec Pivot Limited,42004080264,"1,438,290","180,953","30,740,146",N/A
INDEPENDENCE GROUP NL,46092786304,"37,180","18,245","760,260",N/A
INGHAMS ENTERPRISES PTY. LIMITED,20008447345,"60,082","194,298","1,785,187",N/A
International Power (Australia) Holdings Pty Ltd,70105041209,"15,779,891","200,948","133,504,198",N/A
INVESTA OFFICE MANAGEMENT HOLDINGS PTY LIMITED,62126219903,"4,037","91,039","436,707",N/A
IPMG PTY LIMITED,84123230259,"11,359","66,209","475,392",N/A
Isaac Plains Coal Management Pty Ltd,76114277315,"55,560","13,196","463,796",N/A
ISPT PTY LTD,28064041283,"3,589","53,913","279,479",N/A
Ixom Holdco Pty Ltd,36602722547,"3,017","58,284","333,665",N/A
J.J. RICHARDS & SONS PTY LTD,40000805425,"72,328","5,283","1,067,315",N/A
JBS Holdco Australia Pty Ltd,89126211023,"208,196","206,999","3,173,892",N/A
JBS Smallgoods Holdco Pty Ltd,32604293503,"17,896","82,686","705,768",N/A
Jellinbah Group Pty Ltd,54010754793,"199,332","7,790","1,657,328",N/A
JET SYSTEMS PTY. LIMITED,34003469574,"160,805","1,696","2,319,125",N/A
JKC Australia LNG Pty Ltd,14154383409,"49,792","13,662","808,110",N/A
John Swire & Sons Pty Ltd,88000106141,"14,323","62,793","467,688",N/A
Kalari Proprietary Limited,14004595395,"53,104","1,229","767,128",N/A
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97009377619,"201,303","243,574","4,503,534",N/A
Karara Mining Limited,68070871831,"81,467","380,029","2,993,176",N/A
Keolis Australia Pty Ltd,68132482850,"2,549","110,214","361,548",N/A
Kilcoy Industries Australia Pty Ltd,16125927308,"31,995","18,763","253,070",N/A
Kimberly-Clark Pacific Holdings Pty Limited,59095905294,"111,251","59,801","2,464,410",N/A
Knauf Australia Pty Ltd,86003621181,"40,566","17,507","848,618",N/A
LA TROBE UNIVERSITY,64804735113,"22,916","34,153","488,988","These corporations have voluntarily provided information to the Clean Energy Regulator concerning GreenPower renewable energy purchases, voluntarily surrendered Renewable Energy Certificates or offset scope 2 greenhouse gas emissions totals. For further information refer to the separate table for GreenPower purchases, Renewable Energy Certificates and offset scope 2 emission totals 2014-15 report."
LDO Coal,60140669932,"468,148","19,843","104,365",N/A
LEND LEASE CORPORATION LTD,32000226228,"74,842","112,181","1,561,725",N/A
Lindsay Australia Limited,81061642733,"104,604",0,"1,540,892",N/A
LINFOX PROPRIETARY LIMITED,59004667298,"214,291","43,449","3,282,858",N/A
LION PTY LTD,50128004268,"74,362","192,012","2,187,357",N/A
Loy Yang Holdings Pty Ltd,60057361805,"10,218,712","2,028","81,967,841",N/A
LyondellBasell Australia (Holdings) Pty Ltd,74066270237,3,"90,547","226,795",N/A
MACKAY SUGAR LIMITED,12057463671,"118,706","9,456","19,401,733",N/A
