,,EMISSIONS,,annual electricity generation by fuel type (GWh),,,,,,,,consumption by tonne,,ENERGY CONSUMPTION BY FUEL TYPE (PETAjOULES),,,,DOMESTIC MATERIAL CONSUMPTION PER CAPITA,,FUEL SALES (mega Litres),,,,CONSUMPTION OF MAJOR LIQUID FUELS (GIGALITRES),,,,,,CO2 EMISSIONS FROM GAS FUEL CONSUMPTION (KT),,,CO2 emissions from fuel combustion (mt CO2),,,,,NUMBER OF VEHICLES,,,,,,,FUEL TYPE USE,,,,RATE OF FUEL CONSUMPTION L/100KM,,,,,,,AVERAGE KMS / YEAR (total),,,,,,,,,,,,,,"Transport emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,"Fugitive emissions, 1990 to 2030 (Mt CO2-e)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Population,Transport emissions (MegaTonne CO2),electricity emmissions (mt CO2),  Black coal,  Brown coal,  Natural gas,  Oil products,  Biomass,  Wind,  Hydro,  Small-scale solar PV,Biomass,Fossil Fuel,Coal,Oil,Gas,Renewables,Biomass,Fossil Fuel,Automotive gasoline,Aviation diesel oil,Aviation turbine fuel,Aviation gasoline,automotive gasoline,ethanol blended,diesel,aviation turbine fuel,liquid petroleum gas,fuel oil,GAS,LIQUID FUEL,SOLID FUEL,GDP per capita,Energy intensity,Carbon dioxide emissions from fuel,Carbon intensity of energy,direct Combustion emissions,No. Passenger vehicles,No. light commercial vehicles,no. trucks,no. buses,no. motorcycles,No. Railways,No. Domestic aviation,No. vehicles using leaded,no. vehicles using unleaded,No. vehicles using diesel,No. vehicles using other,passenger vehicles,light commercial vehicles,trucks,buses,motorcycles,Railways,Domestic aviation,No. passenger vehicles for business use,No. passenger vehicles for personal use,No. light commercial vehicles for business use,No. light commercial vehicles for personal use,No. trucks for business use,No. trucks for personal use,No. buses for business use,No. buses for personal use,No. motorcycles for business use,No. motorcycles for personal use,Railways,No. domestic aviation flights,No. passengers Domestic aviation,Cars,Light commercial vehicles,Motorcycles,Buses,Rigid trucks,Articulated trucks,Domestic aviation,Domestic shipping,Railways,Other transportation,Open cut coal mines,Underground coal mines,Oil,Million tonne kms of railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,19386461,74,182.7,"134,264.0","52,223.0","17,271.0","2,044.0", 645.0 ,210.0,"16,933.0",50.0,194774158.7,187893645.9,2 127.8,1 750.0, 974.7, 244.5,10.1,9.7,4 839.3,3 254.5,1 249.5, 27.7,,,,,,,"46,520","80,601","193,544",125,90,128,101,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,122,177","1,082,739","74,813,437",40.3,9.1,0.2,1.4,5.3,8.6,5.0,2.1,1.8,0.6,4.5,21.0,2.4,15 697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,19605441,76,184.0,"116,774.7","56,493.0","31,730.0","2,446.0", 950.0 ,364.0,"16,054.0",58.3,156719549.5,187292954,2 118.6,1 801.9, 942.3, 276.5,8,9.6,4 865.0,3 404.2,1 224.1, 27.1,,,,,,,"49,134","89,944","198,058",128,88,130,101,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,667,439","1,066,147","77,751,449",39.5,9.8,0.2,1.4,5.3,8.1,5.5,2.0,1.7,0.7,4.8,20.4,2.5,16 636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,19827155,77,186.6,"115,296.6","55,160.3","29,375.3","1,661.0"," 1,583.6 ",703.1,"16,490.0",58.3,212033280.1,186864899.4,2 221.6,1 810.5, 974.1, 279.1,10.8,9.5,5 243.1,3 603.5,1 304.7, 26.3,,,,,,,"46,985","95,533","189,441",131,86,133,102,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175,682,234","1,110,306","88,281,038",40.0,10.3,0.3,1.4,5.8,8.4,4.9,2.0,1.8,0.8,5.2,19.2,2.4,17 567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,20046003,80,194.6,"121,182.3","55,572.8","30,919.4","1,388.7"," 1,799.5 ",705.0,"16,331.1",68.1,178877809.1,185046324.4,2 254.4,1 869.0, 996.6, 280.2,9,9.3,5 222.5,3 219.6,1 357.7, 24.6,,,,,,,"47,081","95,129","196,170",134,85,138,103,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,211,541","98,482,409",41.5,10.3,0.2,1.4,6.0,8.6,4.7,1.9,1.9,0.8,5.0,18.9,2.3,18 506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,20311543,82,196.8,"127,788.5","53,377.8","23,802.9","2,841.0"," 3,830.0 ",885.0,"15,612.2",77.8,203305666.4,193280528.7,2 292.6,1 969.8,1 000.9, 284.5,10.1,9.6,4 891.6,3 428.7,1 161.8, 24.8,,,,,,,"43,454","99,416","202,734",137,84,139,102,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,215,212","103,997,499",42.6,11.3,0.2,1.5,5.9,9.1,4.9,2.1,2.1,0.8,5.0,19.2,2.1,19 426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,20627547,82,201.3,"130,231.6","54,552.8","22,725.9","3,058.0"," 3,911.0 ","1,713.1","16,029.2",90.3,157936651.9,201136103.4,2 316.3,1 988.3,1 132.2, 288.3,7.7,9.8,4 923.3,3 529.6,1 144.7, 22.9,,,,,,,"52,951","98,151","209,397",139,84,141,100,15.5,11273219,2081738,,,458169,,,,,,,11.4,13,,,6.4,,,,,,,,,,,,,,"1,209,914","112,082,877",43.0,10.9,0.2,1.4,6.1,9.5,5.4,2.3,2.1,0.8,5.5,20.7,1.9,20 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,21016121,85,204.1,"132,368.5","54,375.8","31,849.9","2,893.0"," 3,953.0 ","2,611.1","14,517.0",104.7,184418849.6,208741253,2 300.0,1 984.1,1 168.9, 286.4,8.9,10,4 971.4,3 823.5,1 130.5, 22.2,,,,,,,"60,696","99,038","207,391",142,84,144,99,15.9," 11,519,214 ",2183449,487204,66330,508626,,,,,,,11.5,13.1,36.9,28.3,6.5,,," 30,006.32 "," 127,922 "," 21,944.92 "," 15,440.08 "," 15,538.88 ", 317 ," 1,971.18 ", 126 , 133.13 ," 1,772 ",,"1,256,952","120,120,667",42.8,11.0,0.2,1.4,6.3,9.8,5.7,2.1,2.1,0.9,5.5,21.4,1.7,26 857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,21475625,87,206.0,"129,569.3","54,658.7","34,955.8","4,058.0"," 4,596.0 ","3,093.1","12,056.9",122.8,192147262.4,205963631.3,2 350.7,2 001.8,1 267.0, 240.1,9,9.7,4 842.7,3 916.3,1 190.1, 22.6,,,,,,,"65,489","107,076","208,267",145,81,146,100,15.7,,,,,,,,,,,,,,,,,,,,, -   , -   , -   ,, -   ,, -   ,,,"1,264,100","122,014,844",42.0,11.7,0.3,1.6,6.9,10.2,6.1,2.9,2.2,0.9,5.4,23.8,1.9,25 603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,21865623,87,211.7,"127,270.5","56,981.4","37,660.4","3,388.0"," 2,795.2 ","3,823.8","11,869.4",155.6,181564332.3,212938938.5,2 224.8,2 062.7,1 268.6, 282.8,8.4,9.8,4 815.1,4 097.4,1 365.7, 21.8,,,,,,,"67,172","107,461","215,169",144,81,147,99,15.8,,,,,,,,,,,,,,,,,,,,, -   , -   , -   ,, -   ,, -   ,,,"1,301,771","127,179,292",43.2,12.4,0.3,1.6,6.8,10.2,6.6,2.2,2.6,0.9,5.1,23.7,1.9,23 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,22172469,89,205.1,"123,724.5","56,068.3","44,585.4","3,106.8"," 2,777.4 ","5,051.7","13,548.7",424.9,175655921.9,211320793.6,2 123.7,2 204.5,1 283.6, 293.7,8,9.6,"4,904.7",4 418.1,1 518.8, 22.4,,,,,,,"65,137","114,806","206,294",145,79,146,98,16.3,12341262,2441929,536172,72509,653186,,,,,,,11.3,13.0,37.7,29.5,6.1,,," 31,038.40 "," 132,322 "," 25,073.62 "," 17,641.38 "," 15,815.24 ", 323 ," 1,902.56 ", 121 , 167.30 ," 2,227 ",,"1,375,350","135,008,667",43.3,12.9,0.3,1.6,6.8,10.1,6.7,2.2,2.7,0.7,5.2,22.8,1.7,23 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
